urlProducto;sizes;colors;base;areas;weight;MinQuantity;PriceBreaks
23109-00060-MelinHatHydro;Universal#0;Black#000000#0|Cool Blue#1C3A56#0|Ice Blue#BAE2F8#0;M|Black|Front|0;Front#0;.49;0;0-999999#50;
23109-00042-TshirtPoweringTheIndustry;XS#0|S#0|M#0|L#0|XL#0|XXL#0;Black#000000#0|Cool Blue#1C3A56#0|Ice Blue#BAE2F8#0;M|Black|Front|0;Front#0;.53;0;0-999999#10;
23109-00044-TshirtHomeLoansAreMyThing;XS#0|S#0|M#0|L#0|XL#0|XXL#0;Black#000000#0|Cool Blue#1C3A56#0;M|Black|Front|0;Front#0;.53;0;0-999999#10;
23109-00056-TshirtMortgageGuru;XS#0|S#0|M#0|L#0|XL#0|XXL#0;Black#000000#0|Cool Blue#1C3A56#0;M|Black|Front|0;Front#0;.53;0;0-999999#10;
