urlProducto;sizes;colors;base;areas;weight;MinQuantity;PriceBreaks
25810-00001-PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Grey#bebfc1#0;M|Grey|Front|0;Front#0;1;0;0-9999999#0

25810-00032-BellaCanvasZipHoodieGrey;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Grey#bebfc1#0;M|Grey|Front|0;Front#0;1;0;0-9999999#0
25810-00043-WhiteLogoTShirt;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00044-InnovateOrDieTShirt;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00045-GreenLogoTShirt;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00046-MoreThanJustaNumberTShirt;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00048-GetShitDoneTShirt;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0

19998-00116;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;1;0;0-9999999#0
19998-00117;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;1;0;0-9999999#0
19998-00044;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;1;0;0-999999#0
19998-00118;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Grey#d3d3d3#0;M|Grey|Front|0;Front#0;0;0;0-9999999#0
19998-00119;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Grey#d3d3d3#0;M|Grey|Front|0;Front#0;1;0;0-9999999#0

19998-00044-LongSleeveTShirt;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|Front|0;Front#0;1;0;0-999999#0
19998-00116-ZipPulloverMens;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|Front|0;Front#0;1;0;0-9999999#0
19998-00117-ZipPulloverWomens;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|Front|0;Front#0;1;0;0-9999999#0
19998-00118-BellaCanvasPocketTeeWomens;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Grey#d3d3d3#0;M|Grey|Front|0;Front#0;0;0;0-9999999#0
19998-00119-PortCoPocketTeeMens;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Grey#d3d3d3#0;M|Grey|Front|0;Front#0;1;0;0-9999999#0

23109-00060;Uni#0;Black#000000#0|Cool Blue#1C3A56#0|Ice Blue#BAE2F8#0;M|Black|Front|0;Front#0;0;0;0-999999#0
23109-00042;XS#0|S#0|M#0|L#0|XL#0|XXL#0;Black#000000#0|Cool Blue#1C3A56#0|Ice Blue#BAE2F8#0;M|Black|Front|0;Front#0;0;0;0-999999#0
23109-00044;XS#0|S#0|M#0|L#0|XL#0|XXL#0;Black#000000#0|Cool Blue#1C3A56#0;M|Black|Front|0;Front#0;0;0;0-999999#0
23109-00056;XS#0|S#0|M#0|L#0|XL#0|XXL#0;Black#000000#0|Cool Blue#1C3A56#0;M|Black|Front|0;Front#0;0;0;0-999999#0

23109-00042-TshirtPoweringTheIndustry;XS#0|S#0|M#0|L#0|XL#0|XXL#0;Black#000000#0|Cool Blue#1C3A56#0|Ice Blue#BAE2F8#0;M|Black|Front|0;Front#0;1;0;0-999999#10
23109-00044-TshirtHomeLoansAreMyThing;XS#0|S#0|M#0|L#0|XL#0|XXL#0;Black#000000#0|Cool Blue#1C3A56#0;M|Black|Front|0;Front#0;1;0;0-999999#10
23109-00056-TshirtMortgageGuru;XS#0|S#0|M#0|L#0|XL#0|XXL#0;Black#000000#0|Cool Blue#1C3A56#0;M|Black|Front|0;Front#0;1;0;0-999999#10
23109-00060-MelinHatHydro;Universal#0;Grey#bebfc1#0|Cool Blue#1C3A56#0|Ice Blue#BAE2F8#0;M|Grey|Front|0;Front#0;0;0;0-999999#50

23109-00038-JambysChilluxeHoodie;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0|Navy#202A44#0;M|Black|0;;2;0;0-999999#98
23109-00040-JambysChilluxeCrew;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0|Charcoal#3C4142#0;M|Black|0;;2;0;0-999999#78
23109-00189-JCrewLinenRollCuffTeeWomens;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0|Blue#2a487a#0;M|Black|Front|0;Front#0;2;0;0-9999999#50
23109-00191-ClassicTeeOffsetLogoONLY;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|Front|0;Front#0;2;0;0-9999999#10
23109-00195-MadewellCottonHat;Snap Back#0;Alabaster#FFFFF0#0|Light Denim#304A5A#0|True Black#000000#0;Snap Back|Alabaster|0;;0;0;0-999999#40.00
23109-00196-MelinHatOdysseyHydro;Snap Back#0;Black Hat with Black Logo#000000#0|Black Hat with White Logo#000000#0|Navy Hat With Navy Logo#202A44#0|Navy Hat with White Logo#202A44#0;Snap Back|Black Hat with Black Logo|0;;0;0;0-999999#65.00
23109-00197-MelinHatAGameHydro;Snap Back#0;Grey Hat With Navy Logo#bebfc1#0|Ice Blue Hat With Navy Logo#2a487a#0|Navy Hat With Ice Blue Logo#202A44#0;Snap Back|Grey Hat With Navy Logo|0;;0;0;0-999999#50.00

1;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
2;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
3;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
4;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
5;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
6;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
7;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
8;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Gray#bebfc1#0;M|Black|Front|0;Front#0;1;0;0-9999999#0
10;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Gray#bebfc1#0;M|Black|Front|0;Front#0;1;0;0-9999999#0

1231-test;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Grey#bebfc1#0;L|Grey|Front|0;Front#0;1;0;0-9999999#0

21332-00004-CorkBottomMug;Lid#0|No Lid#0;Black#000000#0;Lid|Black|0;;0;0;0-9999999#0

BK-AL-ACN;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0;0;0-9999#37.99
BK-AL-DRK;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0;0;0-9999#37.99
BK-AL-GRN;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0;0;0-9999#37.99
BK-AL-HF;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0;0;0-9999#37.99
BK-TI-ACN;Qty#0;Polished#797982#0;Qty|Polished|0;;0;0;0-9999#42.99
BK-TI-DRK;Qty#0;Polished#797982#0;Qty|Polished|0;;0;0;0-9999#42.99
BK-TI-GRN;Qty#0;Polished#797982#0;Qty|Polished|0;;0;0;0-9999#42.99
BK-TI-HF;Qty#0;Polished#797982#0;Qty|Polished|0;;0;0;0-9999#42.99
FH-22-1228-TI;Qty#0;Black#000000#6|Polished#797982#0;Qty|Black|0;;0;0;0-9999#66.99
ME-GLK10-3-AL;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0;0;0-9999#39.99
ME-GLK45-5-AL;Qty#0;Midnight Bronze#4A4645#0;Qty|Midnight Bronze|0;;0;0;0-9999#39.99
ME-GLK40-4-AL;Qty#0;Black#000000#0;Qty|Black|0;;0;0;0-9999#37.99
ME-GLK45-3-AL;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0;0;0-9999#39.99
ME-GLK9-5-AL;Qty#0;Black#000000#0;Qty|Black|0;;0;0;0-9999#37.99
ME-GLK9-3-AL;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0;0;0-9999#37.99
MBR-22-1228-TI;Qty#0;Black#000000#6|Polished#797982#0;Qty|Black|0;;0;0;0-9999#66.99
MBR-30-5824-3P-TI;Qty#0;Black#000000#0;Qty|Black|0;;0;0;0-9999#79.99
MBR-30-5824-TI;Qty#0;Black#000000#6|Polished#797982#0;Qty|Black|0;;0;0;0-9999#66.99
MBR-30-1228-TI;Qty#0;Black#000000#6|Polished#797982#0;Qty|Black|0;;0;0;0-9999#66.99
MBR-65-5824-TI;Qty#0;Black#000000#6|Polished#797982#0;Qty|Black|0;;0;0;0-9999#66.99
MBR-CVA;Qty#0;FDE#877348#0|Grey#808080#0|Patriot Brown#5C4033#0;Qty|FDE|0;;0;0;0-9999#169.99
BSH-RUGAM-AL;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0;0;0-9999#66.99
BSH-RUGAM-TI;Qty#0;Polished#797982#0;Qty|Polished|0;;0;0;0-9999#75.99
BH-RUGPA-SS;Qty#0;Polished#797982#0;Qty|Polished|0;;0;0;0-9999#69.99
BSH-RUGPR-AL;Qty#0;Black#000000#0;Qty|Black|0;;0;0;0-9999#66.99
BSH-RUGPR-AL-WT;Qty#0;Black#000000#0;Qty|Black|0;;0;0;0-9999#82.99
BSH-RUGPR-TI;Qty#0;Polished#797982#0;Qty|Polished|0;;0;0;0-9999#82.99
BSH-RUGPR-TI-WT;Qty#0;Polished#797982#0;Qty|Polished|0;;0;0;0-9999#94.99
TS-RUGPR-POLY;Qty#0;Black#000000#0;Qty|Black|0;;0;0;0-9999#37.99
SB-REM700-LA20;Qty#0;Black#000000#0|Patriot Brown#5C4033#5|Tungsten#767980#5;Qty|Black|0;;0;0;0-9999#79.99
SB-REM700-LA30;Qty#0;Black#000000#0|Patriot Brown#5C4033#5|Tungsten#767980#5;Qty|Black|0;;0;0;0-9999#79.99
SB-REM700-SA20;Qty#0;Black#000000#0|Patriot Brown#5C4033#5|Tungsten#767980#5;Qty|Black|0;;0;0;0-9999#79.99
SB-REM700-SA30;Qty#0;Black#000000#0|Patriot Brown#5C4033#5|Tungsten#767980#5;Qty|Black|0;;0;0;0-9999#79.99
ME-SIG320-3-AL;Qty#0;Black#000000#0|Barrett Brown#7C4700#0|MultiCam Dark Brown#4E3F34#0|Midnight Bronze#4A4645#0|Sig Grey#7F8583#0;Qty|Black|0;;0;0;0-9999#39.99
ME-SIG320C-3-AL;Qty#0;Black#000000#0|Barrett Brown#7C4700#0|MultiCam Dark Brown#4E3F34#0|Midnight Bronze#4A4645#0|Sig Grey#7F8583#0;Qty|Black|0;;0;0;0-9999#39.99
ME-SIG365-3-AL;Qty#0;Black#000000#0|Barrett Brown#7C4700#0|MultiCam Dark Brown#4E3F34#0|Midnight Bronze#4A4645#0|Sig Grey#7F8583#0;Qty|Black|0;;0;0;0-9999#39.99
ME-SIG365-5-AL;Qty#0;Black#000000#0|Barrett Brown#7C4700#0|MultiCam Dark Brown#4E3F34#0|Midnight Bronze#4A4645#0|Sig Grey#7F8583#0;Qty|Black|0;;0;0;0-9999#39.99
ME-SIG320-5-AL;Qty#0;Black#000000#0|Barrett Brown#7C4700#0|MultiCam Dark Brown#4E3F34#0|Midnight Bronze#4A4645#0|Sig Grey#7F8583#0;Qty|Black|0;;0;0;0-9999#39.99
ME-SIG320C-5-AL;Qty#0;Black#000000#0|Barrett Brown#7C4700#0|MultiCam Dark Brown#4E3F34#0|Midnight Bronze#4A4645#0|Sig Grey#7F8583#0;Qty|Black|0;;0;0;0-9999#39.99
BH-TIKT3-TI;Qty#0;Polished#797982#0;Qty|Polished|0;;0;0;0-9999#69.99
BS-TIKT3-AL;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0;0;0-9999#66.99
BS-TIKT3-TI;Qty#0;Polished#797982#0;Qty|Polished|0;;0;0;0-9999#75.99
TDP-AR15-TI;Qty#0;Polished#797982#0;Qty|Polished|0;;0;0;0-9999#37.99
ME-GLK10-5-AL;Qty#0;Black#000000#0;Qty|Black|0;;0;0;0-9999#39.99
ME-GLK40-2-AL;Qty#0;Black#000000#0|Midnight Bronze#4A4645#0;Qty|Black|0;;0;0;0-9999#37.99
MBR-22-TI;1/2x28#0;Black#000000#6|Polished#797982#0;1/2x28|Black|0;;0;0;0-9999#66.99
MBR-30-TI;1/2x28#0|5/8x24#0;Black#000000#6|Polished#797982#0;1/2x28|Black|0;;0;0;0-9999#66.99
MBR-65-TI;5/8x24#0;Black#000000#6|Polished#797982#0;5/8x24|Black|0;;0;0;0-9999#66.99
MBR-30-3P-TI;5/8x24#0;Black#000000#0;5/8x24|Black|0;;0;0;0-9999#79.99
MBR-30-ST-TI;1/2x28#0|5/8x24#0;Polished#797982#0|Patriot Brown#5C4033#0|Tungsten#767980#0;1/2x28#0|Polished|0;;0;0;0-9999#169.99
MBR-65-ST-TI;1/2x28#0|5/8x24#0;Polished#797982#0|Patriot Brown#5C4033#0|Tungsten#767980#0;1/2x28#0|Polished|0;;0;0;0-9999#169.99
RL-AL-ARCA;2”#0|4”#4|6”#8;Black#000000#0;2”|Black|0;;0;0;0-9999#31.99

31384-00001;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;HEATHER HEAVY METAL#3C4142#0;M|HEATHER HEAVY METAL|0;;0;0;0-9999999#20
31384-00002-TPM Next Level Tee Idaho-HEATHER HEAVY METAL;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;HEATHER HEAVY METAL#3C4142#0;M|HEATHER HEAVY METAL|0;;0;0;0-9999999#20
31384-00002-TPM-Next-Level-Tee-Idaho-HEATHER-HEAVY-METAL;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;HEATHER HEAVY METAL#3C4142#0;M|HEATHER HEAVY METAL|0;;0;0;0-9999999#20
31384-00002-TPMNextLevelTeeIdaho-HEATHER HEAVY METAL;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;HEATHER HEAVY METAL#3C4142#0;M|HEATHER HEAVY METAL|0;;0;0;0-9999999#20
31384-00002-TPMNextLevelTeeIdaho;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;HEATHER HEAVY METAL#3C4142#0;M|HEATHER HEAVY METAL|0;;0;0;0-9999999#20
31384-00003-TPMNextLevelTeeIdahoElk;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;HEATHER GREY#BBB9C3#0;M|HEATHER GREY|0;;0;0;0-9999999#20

22829-00193-BennieBearBirthdayTee;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Blue#4169e1#0;M|Blue|0;;2;0;0-999999#0
22829-00205-SaygeMercerMettleStretchQuarterZipPullover;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Navy#202A44#0;M|Navy|0;;2;0;0-999999#0
22829-00206-SaygeBellaCanvasFullZipHoodedSweatshirt;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Navy#202A44#0;M|Navy|0;;2;0;0-999999#0
22829-00207-SaygeNextLevelLongSleeveCottonShirt;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;LightGrey#d3d3d3#0;M|LightGrey|0;;2;0;0-999999#0
22829-00208-SaygeNextLevelCVCTee;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Storm#3C4142#0;M|Storm|0;;2;0;0-999999#0
