urlProducto;sizes;colors;base;areas;weight;MinQuantity;PriceBreaks

23144-00002-GraphAISummitTee;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|0;;0.4;0;0-999999#0
23144-00036-CottonTee;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|0;;0.4;0;0-999999#0
23144-00041-PumaPoloMens;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Heather Grey#99988B#0;M|Heather Grey|0;;0.4;0;0-999999#0
23144-00042-PumaPoloWomens;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Heather Grey#99988B#0;M|Heather Grey|0;;0.4;0;0-999999#0
