urlProducto;sizes;colors;base;areas;weight;MinQuantity;PriceBreaks

23109-00196-MelinHatOdysseyHydro;Snap Back#0;Black Hat with Black Logo#000000#0|Black Hat with White Logo#000000#0|Navy Hat With Navy Logo#202A44#0|Navy Hat with White Logo#202A44#0;Snap Back|Black Hat with Black Logo|0;;0.3;0;0-999999#65.00
23109-00197-MelinHatAGameHydro;Snap Back#0;Grey Hat With Navy Logo#bebfc1#0|Ice Blue Hat With Navy Logo#2a487a#0|Navy Hat With Ice Blue Logo#202A44#0;Snap Back|Grey Hat With Navy Logo|0;;0.3;0;0-999999#50.00

23109-00042-TshirtPoweringTheIndustry;XS#0|S#0|M#0|L#0|XL#0|XXL#0;Cool Blue#1C3A56#0|Ice Blue#BAE2F8#0;M|Cool Blue|0;;1;0;0-999999#10
23109-00044-TshirtHomeLoansAreMyThing;XS#0|S#0|M#0|L#0|XL#0|XXL#0;Cool Blue#1C3A56#0;M|Cool Blue|0;;1;0;0-999999#10
23109-00056-TshirtMortgageGuru;XS#0|S#0|M#0|L#0|XL#0|XXL#0;Cool Blue#1C3A56#0;M|Cool Blue|0;;1;0;0-999999#10

23109-00195-MadewellCottonHat;Snap Back#0;Alabaster#FFFFF0#0|Light Denim#304A5A#0|True Black#000000#0;Snap Back|Alabaster|0;;0.35;0;0-999999#40.00
