urlProducto;sizes;colors;base;areas;weight;MinQuantity;PriceBreaks
21332-00073-NikeDriFitMicroPiquePoloWomens;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|0;;.4;0;0-999999#0
21332-00076-NikeDreamforce2023PoloWomens;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|0;;.4;0;0-999999#0
21332-00098-NikeDriFitStretchHalfZipMens;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|0;;.75;0;0-999999#0
21332-00099-PortAuthoritySuperProTwillShirtMens;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Sterling Grey#C9C9C9#0;M|Sterling Grey|0;;.6;0;0-999999#0
