urlProducto;sizes;colors;base;areas;weight;MinQuantity;PriceBreaks
25810-00003-OffCenterLogoTee;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|0;;0.75;0;0-999999#0
25810-00004-GetShitDoneTee;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|0;;0.75;0;0-999999#0
