urlProducto;sizes;colors;base;areas;weight;MinQuantity;PriceBreaks
23585-00027-BellaCanvasShortSleeveFlow;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Berry#990F4B#0|Navy#000080#0|Purple#A020F0#0|True Royal#4169e1#0;M|Berry|0;;1;0;0-999999#0
23585-00028-BellaCanvasShortSleeveNewYork;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Berry#990F4B#0|Purple#A020F0#0|True Royal#4169e1#0;M|Berry|0;;1;0;0-999999#0
23585-00029-BellaCanvasLongSleeveFlow;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Navy#000080#0|True Royal#4169e1#0;M|Navy|0;;1;0;0-999999#0
23585-00030-BellaCanvasLongSleeveNewYork;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Navy#000080#0|True Royal#4169e1#0;M|Navy|0;;1;0;0-999999#0
23585-00031-DistrictFleeceHoodie;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Navy#000080#0;M|Navy|0;;1;0;0-999999#0
